name,lat,long,Score
Life Alive,42.645084,-71.309685,46.17348952
Cambodian,37.872162,-122.26708,73.63338739
City Chef Catering - Weddings - Corporate - Social,NA,NA,60.26625085
Red Curry,38.8041439,-77.0403888,60.31477612
Papas Pizza To Go,36.175114,-83.80265,52.18080288
Soldiers Daughter - Closed,38.254658,-120.35374,89.45946186
Loving Hut,45.52,-122.69,51.44075082
Master Pizza,40.794256,-74.339414,45.66324941
Fazoli's,28.01379,-81.957184,84.90474068
Tsunami Nacho Truck,39.432594,-123.8015,15.31978368
Pioneer Party Store,NA,NA,18.19812884
Taco John's Fairfield Ia - Hours Reviews & More,41.006512,-91.972115,15.95646508
Mn Restaurant,NA,NA,56.34132605
Tastebudz Catering Takeout & Takehome,30.487769,-84.237784,61.45496743
Fox's Pizza Den,41.51158,-78.236496,48.1815704
Braum's Ice Cream & Dairy Stores,NA,NA,94.80470626
Boston's Gourmet Pizza,47.889516,-97.075117,50.30116898
Domino's Pizza,31.321438,-89.38336,93.0169456
Max & Erma's,NA,-84.4112184,69.27888334
Tubby's Grilled Submarines,42.358898,-83.462407,42.53420888
Johnny's Pizza,33.626164,-83.977192,96.62632516
Pizza Pro,31.458706,-85.627054,44.77574175
Doaba Deli,NA,NA,52.04916718
Chapati,44.45775,-93.15933,92.7843359
Chef Brads Fireside - Closed,43.53019,-72.73833,12.67360817
Benaka Indian Cuisine,32.84556,-96.95073,66.42026722
Zamboni Deli,41.1750005,-112.0258373,59.95159978
Papa Joe's Pepperoni Cafe,42.08015637,-80.16064865,51.32308106
Fazoli's,NA,NA,65.02244208
Pizza Factory,48.325886,-122.66655,89.23600602
The Gardens - Closed,41.01121,-91.96375,50.96643065
Planet Smoothie,34.021749,-84.271852,58.59935056
Mountain Mike's Pizza,NA,NA,80.42722711
Sonny's Bar-b-q,32.409438,-81.77611,4.354513749
David Josephs Catering,NA,NA,31.99081108
Western Sizzlin,33.921127,-93.8591,78.27641204
New Bhimas,33.860573,-118.08159,92.62812713
Pizza Ranch,46.13879,-98.091807,25.37788267
Flying Biscuit Midtown,33.781971,-84.38022,22.13176783
Ces & Judy's Catering At  Le Chateau,NA,NA,24.55440511
Biaggi's Ristorante Italiano,NA,NA,83.80076696
Vons Dough Shack-calzones,NA,NA,20.93110243
Abuelo's Mexican Food Embassy - Closed,41.579407,-83.69358,66.85540384
Fazoli's,NA,NA,53.16173898
Sai India Curry,36.0989418,-115.1368275,58.74218316
Mark's Mountain Bbq,NA,NA,85.07622874
Lemonade,33.885937,-118.40804,96.49056706
Pizza Restaurant Bechtelsville,NA,NA,39.54106591
Foo Wah Seafood Restaurant,40.613813,-73.981559,61.52242744
Mill Hollow Cafe,41.28311,-75.89318,83.3934436
Palm Harbor Natural Foods,NA,NA,67.16294641
Snappy Tomato Pizza Co,NA,NA,88.64957993
Logan's Roadhouse,36.176748,-86.511497,17.89302361
Buca Di Beppo,32.808887,-96.6269,16.10065347
Wine Guy Wine Shop - Pickerington,39.919439,-82.780664,63.7858516
Pavitra,40.691595,-73.811686,38.94059738
Mad Greens,39.91407,-104.99717,51.06396695
Corner Bakery Cafe,40.15891,-75.1437,35.36853898
Fast N Fresh,27.392363,-82.45274,75.79673579
Hill House Coffee Cafe - Closed,31.94065,-81.30527,69.90830764
Phad Thai Restaurant,47.65697,-122.686674,22.85801401
Longhorn Steakhouse,35.4394949,-80.8443805,62.85501468
Hoana Graphic Arts and Prtg,48.455328,-115.890011,51.62743908
Moloaa Sunrise Fruit Stand,22.05728,-159.54657,50.73602433
Orange and Olive Caterers,NA,NA,11.64069057
Fox's Pizza Den,36.091777,-115.207252,64.82638144
Valentinos Italian Caf,30.053864,-99.135363,58.55818936
Wok N Talk,42.3315406,-71.1118961,15.76261057
15.quince Grill & Cantina,34.725169,-112.006554,9.955960304
Braum's Ice Cream & Dairy Stores,32.3841903,-96.8501003,25.63013181
Fusco's Via Roma,34.06572282,-84.67719125,7.198560454
Burritoville,40.745073,-73.99767,78.35090377
Big Fish Family Restaurant,37.81256,-112.43565,16.46984215
Naked City Taphouse - Greenwood/phinney - Seattle,47.691812,-122.355103,29.5863945
,40.80884,-91.10429,64.95920294
Portneuf Grille Lounge,42.61984,-112.00911,4.076584681
The Post East,36.17331328,-86.73978343,94.90558824
Yogoya,39.43805738,-76.6255939,90.65391675
Sonny's Real Pit Bar-b-q,NA,NA,38.00877434
Penn Station East Coast Subs,NA,-84.3864818,10.61705461
Acapulco,37.811435,-81.183374,67.28887824
Monical's Pizza,NA,NA,21.78819835
Deepsha Enterprises Inc,26.189338,-80.285603,70.10929751
Almaza,34.029462,-118.389053,34.42425752
Bucks Pizza,30.2126334,-97.1110239,9.072024219
Villa Pizza,39.620426,-83.60348,10.88296649
Tonino's Pizza,NA,NA,82.81899964
Chandelier Meditaranean Restaurant - Closed,36.00542,-115.11783,89.54709678
Portabella,42.372906,-72.50178,37.57232893
China King Restaurant,29.936797,-95.578486,52.46186108
Jamba Juice,36.73703,-119.700653,88.30529556
Lovin' Oven,40.52271,-75.06216,50.01655089
Domino's Pizza,32.165455,-90.13049,71.44674104
Buca Di Beppo - Closed,32.808887,-96.6269,1.690825466
Bilotti's Italian Village,44.020254,-92.464227,89.4640665
India's Kitchen,42.31473,-122.81599,81.1954436
Neelam's,47.69174,-122.3553,88.75061091
Quizno's - Northwest Dallas/love Field - Dallas,32.822741,-96.857315,90.70639316
Taco John's,45.120684,-95.054113,34.73065464
V & M Pizza Town,40.6803966,-73.9777637,79.9312651
The Pita Pit,37.65077,-118.98492,51.85238101
Smoothie King,27.258724,-82.524692,34.06876059
Rubio's Fresh Mexican Grill,33.570445,-117.713696,39.58921235
Beautifull!,37.786836,-122.450135,67.04811342
Real Raw Live,34.105503,-118.318624,41.41595178
The Nosh of Beverly Hills,34.068798,-118.407294,62.78053534
Greenview Thai,34.041762,-118.459527,71.51296471
M Cafe De Chaya,34.070254,-118.401634,76.81202461
Wharo Korean Bbq,33.989632,-118.447194,18.13904142
Urth Caffe,34.004337,-118.485817,72.90923284
Native Foods,33.67745,-117.886985,8.573614741
It's Thai,34.089383,-118.259289,38.65894175
"Susan M. Kallal, Md",34.058957,-118.444833,43.17901455
Bonefish Grill,32.467245,-90.147961,3.323889939
Food Rite,36.059785,-88.987355,2.30463442
The Natural Cafe,34.15333,-118.828076,75.330734
Bollywood Indian Restaurant 3,34.154951,-118.831343,50.6029379
Naked Cafe,32.991392,-117.272758,42.12791524
City Grill & Spirits,33.917356,-117.900489,29.54188306
Borough,35.779435,-78.644006,92.15199271
Cafe Tu Tu Tango At Orange,33.782984,-117.893462,64.66369857
King & I,35.802546,-78.769729,26.38527829
Aladdin's Eatery,35.869229,-78.622517,84.74201938
Morocco's Restaurant,37.386596,-122.083242,22.19913803
Colfax Max,39.093595,-120.951912,54.04964238
Sprouts Cafe,38.942212,-119.977325,15.39757762
Vito's New York Trattoria,37.366056,-121.915144,65.44195325
Blue Mango,37.322913,-121.990691,5.56967535
Loving Hut,37.252474,-121.861289,40.93106488
Grover Grind,35.121617,-120.627853,29.52351069
Cafe Crepes,35.373397,-119.013886,67.66896945
Village Inn,38.348064,-121.996854,34.61010584
Backstage Pub & Grill,42.81107,-73.941829,82.42848821
Treebones Resort,35.883769,-121.455831,46.69280144
Loving Hut,38.413792,-121.470949,24.84058097
Ubuntu Napa,38.30036,-122.286293,37.58934021
Solano Dermatology,38.123751,-122.263517,93.38331439
Pasand Restaurant,37.353989,-121.997806,99.62631401
Andy Nguyen's,38.560229,-121.486689,67.96415596
Emma's Tamales,38.511069,-121.408689,79.41800008
Passaretti's Italian Restaurant & Catering,38.90786,-120.000635,72.48768103
Chef's Market Cafe & Take Away,36.321117,-86.702321,96.31201747
Grins,36.14481,-86.806455,83.62307004
Cafe Rakka,36.3058,-86.634924,15.2201512
Rainbow Springs,33.499949,-86.797315,95.21564311
Green Hills Foot Care Ctr,36.102537,-86.818739,59.51807892
Baoding,35.147361,-80.833041,32.34642925
Namaste India,35.194894,-80.767443,0.330118672
Darst Dermatology,35.024411,-80.578208,26.07651911
Victoria Restaurant,40.757803,-73.966051,99.31030703
Johnny's Pizza,NA,NA,14.17619179
Tcby,42.259243,-84.42829,97.24246672
Dragon China On Third,40.62806,-74.029181,79.62390625
Islands,33.608821,-117.700938,24.60651484
Smoothie King,26.244589,-80.190947,69.06773884
T.g.i. Friday's,35.947024,-86.822318,51.57234766
Lynne's Garden of Eat'n,37.637547,-118.96687,56.43300153
,43.08912,-87.894966,53.43538085
Schlotzsky's,46.784942,-92.100708,70.21479418
Lone Star Steakhouse & Saloon,40.1788542,-74.8798554,67.81509916
Wrigleyville's Double Rainbow Ice Cream Shoppe,NA,NA,12.35467411
Bangels Indian Cuisine,40.01592,-75.68563,32.32047028
Blue Plate,NA,NA,84.61585109
Jamba Juice,NA,NA,26.71950095
Wild Roots,NA,NA,84.39729939
Fox's Pizza Den,39.008748,-80.393953,98.81929845
Cool Cafe,37.43298,-122.17049,81.87572574
Wild Roots,NA,NA,5.385764497
Cafe Ala Carte,NA,NA,2.819010805
Planet Smoothie,32.716984,-79.967619,90.22403868
Lone Star Steakhouse & Saloon,NA,-84.221048,54.66265111
Burger Me,39.32544,-120.19127,67.0669884
Burtons Grill,32.830757,-79.83085,33.51490001
Wild Bean Cafe,28.629306,-81.462096,37.94491961
Cai's Dim Sum Teahouse,42.8514562,-72.59627366,61.33784398
Thai Sapa,37.19821,-112.991356,44.6445168
Chang Thai,36.017944,-80.40941,3.751447539
"Russell's Steaks, Chops, and More",42.951155,-78.696906,34.24610449
Wings To Go,36.158926,-115.291415,2.591356678
Bear Foods Natural Foods Market Cafe Creperie,47.83994,-120.018196,22.60557272
Michelina's Italian Eatery,43.097958,-77.63102,8.540866121
Logan's Roadhouse,NA,NA,10.41902904
Mr Gatti's Pizza,34.9703,-81.9296,88.52538163
Asalah Moroccan Restaurant - Closed,40.26792,-76.88767,32.1494664
Curry Point - Southwest - Brook Park,41.4039294,-81.8089817,86.80896195
Longhorn Steakhouse,NA,NA,44.65723104
Mount Everest Restaurant,39.373114,-76.508152,85.32303909
Tapateria,38.848167,-104.86428,34.2012461
Wayfaring Traveler Llama Ranch,44.596838,-108.976191,76.8591964
Jess's Juice Bar,40.36678,-74.944,90.41710302
Western Sizzlin Steakhouse,35.085683,-85.606387,44.75102485
Cosmetic Dermatology and Surgery,42.385881,-87.962347,62.48578561
Pizza Factory,38.992458,-105.059401,26.05753082
Villa Pizza,36.016698,-115.173127,9.221002321
Black Angus Steakhouse,26.008981,-80.257104,45.56862784
Boston's Gourmet Pizza,47.657057,-117.193833,76.34327665
Maria's,37.689683,-121.032552,16.06681991
Karma Restaurant Bar Grill,34.419563,-118.54542,69.92690429
Confucio Express,25.760671,-80.201192,8.778679783
The Madras Cafe,40.726338,-73.988915,61.38041668
Logan's Roadhouse,31.4959173,-97.1516405,88.16344443
Make Your Mark Artspace & Coffeehouse,NA,NA,74.83043316
Dermatology Center of San Francisco San Francisco,37.73,-122.47,75.95135588
Organic 3 Cafe,NA,NA,46.90203674
Escabeche Mexican Grill - Closed,34.03367,-117.68571,71.2496391
Ponutz - Closed,30.75668,-81.59583,16.82647525
Bistro Red Beet,61.58519,-149.32341,67.96964724
Paratha Junction Jersey City,40.735216,-74.064195,70.21053261
Jamba Juice,34.151291,-118.452271,25.79710156
Snappy Tomato Pizza,NA,-83.482136,30.8551443
